create,を創り出す
refuse,を拒む
strike,の心を打つ
repeat,(を)繰り返す
consume,を消費する
confuse,を混同する
select,を選ぶ，えり抜く
evolve,(徐々に)発展する
convince,を納得［確信］させる
recall,を思い出す
destroy,を破壊する
preserve,を保存する
organize,を準備する
warn,(人)に(～を)警告［注意］する(of / against)
address,(問題など)に対処する
operate,を操作する
participate,参加する
surround,を取り巻く
flow,流れる
bore,(人)を退屈させる，うんざりさせる
complain,(と)不平［苦情］を言う
host,を主催する
combine,を(～と)結び付ける(with)
extend,を伸［延］ばす
appreciate,を正当に評価する
target,(到達・攻撃)目標
element,要素，成分
principle,原則，原理
phenomenon,現象
atmosphere,〔the ～〕大気
origin,起源
personality,個性，性格
capacity,(最大)容量，収容能力
profit,利益
circumstance,〔通例～s〕状況，事情
manner,〔～s〕作法
threat,脅威
resident,居住者
wealth,富
institution,機関
authority,〔通例 the ～s〕(関係)当局
vote,投票
sight,光景
campaign,運動
fund,〔しばしば～s〕基金，資金
web,〔the W-〕ウェブ
symbol,象徴，シンボル
analysis,分析(結果)
version,(本・製品などの)版
perspective,観点，見方
crisis,危機
disaster,災害
lecture,講義，講演
psychology,心理学
gender,(社会的・文化的)性，性別
custom,(社会的な)慣習
court,裁判所，法廷
desert,砂漠
soil,土地，土壌
agriculture,農業
fossil,化石
document,(公)文書，書類
vocabulary,語彙
intelligent,聡明な
conscious,意識して，気づいて
capable,能力がある
accurate,正確な
fundamental,基本的な
artificial,人工の
firm,確固たる
overall,総合的な
rural,田舎の，田園の
military,軍の，軍事(用)の
nuclear,核の，原子力の
biological,生物学(上)の
constant,絶え間ない
severe,(人・規律・事態・天気などが)厳しい
visual,視覚の
enormous,莫大な，巨大な
convenient,便利な，都合のいい
domestic,家庭の
mass,大規模な，大量の
typical,典型的な
overseas,海外へ［に，で］
nevertheless,それにもかかわらず
demonstrate,を論証［証明］する
behave,振る舞う
educate,を教育する
purchase,を購入する
recommend,を勧める
admit,(を)(しぶしぶ)認める
generate,を生み出す
explore,(を)調査［探究］する
amaze,をびっくりさせる
tear,を引き裂く
settle,を解決する
afford,を持つ［する］余裕がある
conclude,と結論づける
advertise,を宣伝する
encounter,に遭遇する
remind,に思い出させる
locate,〔受身形で〕位置する
aid,を援助する，助ける
bite,(を)かむ，(に)かみつく
deliver,を配達する
perceive,に気づく
distinguish,を区別する
imply,を暗に意味する
handle,を処理する，扱う
praise,を(～のことで)賞賛する(for)
appeal,訴える
insist,(を)強く主張する
compete,競う
rank,を位置づける，評価する
deny,を否定する
reject,を拒否する
intend,を意図する
expose,をさらす
favor,に賛成する
inspire,(人)を奮起させる
propose,を提案する
spell,(語)をつづる
breathe,呼吸する
repair,を修理する
consist,(～から)成る(of)
comment,意見，コメント
instruction,〔通例～s〕指示
religion,宗教
neighborhood,地域
laboratory,実験室，研究室
presence,存在
confidence,自信
harm,害，損害
instrument,器具
category,部類，区分
capital,資本
outcome,結果
notion,概念，観念
review,(書物などの)論評
trait,特性
diversity,多様性
victim,犠牲(者)，被害者
occasion,場合，時
facility,施設，設備
stock,在庫品
conference,会議
humanity,人類
dialect,方言
proportion,割合
tip,助言，秘訣
lawyer,弁護士
stuff,(漠然と)物
comfort,快適さ
philosophy,哲学
mammal,哺乳動物
quantity,量
landscape,風景
tribe,部族
organ,器官，臓器
trial,試み，(品質・性能などの)試験
norm,規範
code,規範
substance,物質
multiple,多様な
numerous,非常に数の多い
narrow,狭い
widespread,広範囲にわたる
sufficient,(～に
proper,適切な
linguistic,言語の，言語学の
annual,年1回の，例年の
contemporary,現代の
contrary,(～と)反対の(to)
strict,(規則などが)厳しい
civil,市民の
odd,奇妙な
unknown,不明の
superior,よりすぐれた
sensitive,敏感な
violent,(人・気質などが)激しい
virtual,仮想の
regardless,(～に)かまわない，無頓着な(of)
immediate,即座の
crucial,重要な
somewhat,いくぶん，多少
interpret,を解釈する
translate,を翻訳する
concentrate,(を)集中する
request,に(…するように)頼む(to do)
criticize,を批判する
overcome,を克服する
obtain,を得る
inform,に知らせる
ensure,を確実にする
announce,を発表［公表］する，知らせる
grant,(人)に(許可・権利など)を与える
freeze,凍る
oppose,に反対する
differ,異なる
hate,をひどく嫌う
emphasize,を強調する
employ,を雇う
credit,(功績など)を(～に)帰する(to)
transform,を変える
construct,を建設する
arise,生じる
beat,を打ち負かす
regret,を後悔する
alter,を変える
absorb,を吸収する
disappoint,を失望させる
cure,を治す
transport,を輸送する
rush,急いで行く
hang,を掛ける
blame,を責める
ban,を(法的に)禁止する
fascinate,を魅了する
recover,回復する
celebrate,を祝う
manufacture,を製造する
interact,影響し合う
arrange,の段取りをつける
adjust,を調整する
confirm,を確認する
insight,見識，理解(力)
innovation,革新
budget,予算
fee,料金
expense,〔～s〕経費
debt,借金，負債
loan,貸付金，融資
duty,義務
alarm,不安，恐れ
emergency,緊急(事態)
democracy,民主主義，民主政治
minister,大臣
fellow,仲間，同僚
candidate,(～の)候補(者)(for)
corporation,(大)企業
stereotype,固定観念
route,道(筋)
disorder,障害，(心身の)不調
depression,憂うつ
weapon,兵器，武器
immigration,(他国からの)移民，移住
barrier,(～に対する)障壁(against / to)
disadvantage,不利(な点)
mood,気分
motion,動き，動作
routine,決まり切った仕事
discipline,規律，しつけ
myth,作り話
hypothesis,仮説
physician,【主に米】 医師
client,顧客
colony,植民地
statistics,統計
grain,穀物
ingredient,材料，成分
treasure,宝物，財宝
contract,契約(書)
welfare,福祉，幸福
prime,主要な，最も重要な
curious,好奇心の強い
dramatic,劇的な
distinct,明らかに異なる
anxious,心配して
vital,必要不可欠な
conventional,従来の
abstract,抽象的な
minor,重要でない
extraordinary,並はずれた
stable,安定した
flexible,融通の利く，柔軟な
brief,簡潔な
aggressive,攻撃的な
visible,(目に)見える
unexpected,思いがけない，不意の
ethnic,民族の，人種の
alien,(～にとって)異質の(to)
initial,初めの
exact,正確な
precise,正確な
latter,後者の，後半の
commit,〔＋oneselfまたは受身形で〕献身する
stimulate,を刺激する
enhance,(価値など)を高める，増す
pursue,を追求する
react,反応する
disagree,不賛成である
stare,じっと見る
abandon,を捨てる
quit,をやめる
capture,をとらえる
transfer,を移す
bother,を悩ます
persuade,を説得する
rent,を賃借りする
breed,を繁殖させる，育てる
invest,(を)投資する
reserve,を予約する
trace,(足跡・起源など)をたどる
illustrate,を説明する
advise,に忠告［助言］する
convey,を伝える
attach,を(取り)付ける
stretch,を伸ばす
puzzle,を当惑させる
disturb,をかき乱す
crash,衝突する，墜落する
cope,うまく処理する
permit,を許可する
impress,を感動させる
suspect,ではないかと思う
upset,を動揺させる
frighten,(人)を怖がらせる
import,を輸入する
export,(を)輸出する
investigate,を調査する
monitor,を監視する
calculate,を計算する
eliminate,を取り除く
ease,を軽減する
launch,を開始する
sequence,連続
therapy,療法
symptom,症状
incident,出来事，事件
witness,目撃者
sum,(金)額
burden,負担
tone,口調
honor,光栄
award,(～の)賞(for)
priority,優先(事項)
logic,論理
minimum,最小限度
exception,(～の)例外(to)
clue,(～の)手がかり(to / about)
bond,絆
virus,ウイルス
surgery,(外科)手術
insurance,保険
frame,枠，(額)縁
shelter,避難(所)，保護
territory,領土
boundary,境界(線)
habitat,生息地
district,地区
conservation,(動植物などの)保護
harvest,収穫(物)
predator,捕食動物
trap,わな
trick,こつ
fault,〔通例one’s ～〕責任
discount,割引
bias,偏見
cooperation,協力，共同
patent,特許(権)
dialogue,対話，会話
component,構成要素
reputation,評判
verbal,言葉の
internal,内部の
solid,しっかりした
remote,(～から)遠く離れた(from)
principal,主要な
sophisticated,高性能の，精巧な
equivalent,等しい，相当する
rational,理性的な
relevant,関係がある
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な
meaningful,意味のある
evil,邪悪な
extinct,絶滅した
random,無作為の
raw,生の
rude,無礼な
mere,単なる，ほんの
tropical,熱帯の
forth,前へ，先へ
possess,を所有している
dominate,を支配する
guarantee,を保証する
melt,溶ける
embarrass,に恥ずかしい思いをさせる
discourage,(人)にやる気をなくさせる
detect,を感知する
devote,をささげる
urge,に(強く)促す
lend,を貸す
restrict,を制限する
isolate,を孤立させる
accompany,に同行する
exhaust,を疲れ果てさせる
annoy,を悩ます
endanger,を危険にさらす
acknowledge,(事実など)を認める
admire,に(～のことで)敬服［感心］する(for)
evaluate,を評価する
declare,を宣言する
secure,を確保する
specialize,専門とする
attribute,(結果など)を(～に)帰する(to)
pretend,(の)ふりをする
bury,を埋める
reverse,を逆転させる
resist,に抵抗する
scare,をおびえさせる
imitate,をまねる
assist,(を)援助する
resemble,に似ている
retire,(～から)引退する，退職する(from)
neglect,をおろそかにする，怠る
collapse,崩壊する
reform,を改革する
protest,(に)抗議する
owe,に借りがある
sustain,を持続させる
assign,を割り当てる
accomplish,を成し遂げる
wisdom,知恵
literacy,読み書きの能力
heritage,遺産
mission,使命
license,免許(証)
elite,〔通例the ～〕〔集合的に〕エリート
layer,層
motor,モーター
protein,たんぱく質
profession,職業
editor,編集者
agent,仲介者，代理人
globe,地球
haven,避難所，保護区
row,列
sacrifice,犠牲
means,〔単数・複数扱い〕手段
session,集まり
league,(競技)連盟
contest,コンテスト，競技(会)
guard,警備員
opponent,(試合・論争などの)相手
glance,(～を)ちらっと見ること(at)
divorce,離婚
tissue,(生物の)組織
liquid,液体
inequality,不平等
prejudice,(～に対する)偏見(against)
justice,公正，正義
guideline,指針，ガイドライン
platform,プラットフォーム
sector,(社会・経済などの)部門，セクター
channel,チャンネル
glacier,氷河
primate,霊長目の動物
usage,(使)用法
fortune,財産
correlation,相互関係，相関(関係)
artistic,芸術的な
literary,文学の
classic,第一級の
liberal,自由主義の
concrete,具体的な
slight,わずかな
federal,連邦(政府)の
primitive,原始的な
unfamiliar,(～に)不慣れな(with)
subtle,微妙な
plain,明らかな
marine,海の
apparent,明白な
reluctant,気が進まない，嫌がる
temporary,一時的な
guilty,罪悪感のある
royal,王の
pure,純粋な
incredible,信じられない
eager,(～を)熱望して(for)
adequate,十分な
via,～経由で
assess,を評価する
approve,賛成する
remark,と述べる
pose,(危険)を引き起こす
yield,をもたらす
exhibit,を示す，見せる
distribute,を(～に)分配する(to)
command,を命じる
occupy,(空間・時間)を占める
pop,ひょいと動く
pile,を積み重ねる
greet,に挨拶する
apologize,(～に
frustrate,をいら立たせる
relieve,を和らげる
derive,由来する
deserve,に値する
peer,(～を)じっと見る(at / into)
defeat,を負かす
convert,を変える
wed,と結婚する
delight,を喜ばせる
boost,を押し上げる
endure,に耐える
correspond,一致する
impose,を課す
rescue,を救う
resolve,を解決する
register,を記録する，登録する
interrupt,を中断させる
rid,から(～を)取り除く，除去する(of)
prohibit,を禁止する
compose,を構成する
misunderstand,(を)誤解する
punish,を罰する
ruin,をだめにする
defend,を防御する
embrace,を受け入れる
modify,を修正する
qualify,(人)に資格を与える
passion,情熱
enthusiasm,(～への)熱情，熱意(for)
phase,段階，局面
mode,方式
span,期間
gravity,重力，引力
orbit,軌道
asteroid,小惑星
core,核心
soul,精神
nerve,神経
infection,感染(症)
mall,【主に米】 モール，ショッピングセンター
grocery,〔～s〕食料雑貨
humor,ユーモア
instinct,本能
faith,(～への)信頼(in)
courage,勇気
incentive,動機(づけ)
prospect,見込み
obstacle,(～に対する)障害(物)(to)
architecture,建築
stem,(草木の)茎，幹
illusion,錯覚，思い違い
discrimination,(～に対する)差別(against)
shame,恥
drought,干ばつ
flavor,風味
portion,部分
recipe,調理法，レシピ
luxury,ぜいたく(品)
chip,小片，破片
ritual,儀式
sake,〔for the ～ ofで〕のために，の目的で
prefecture,(日本の)県，府
council,(地方)議会
administration,管理(部)
curriculum,教育課程，カリキュラム
precious,貴重な
generous,寛大な
casual,何気ない
optimistic,楽観的な
rough,粗い
unpleasant,不愉快な
Arctic,北極の
ultimate,究極の
deaf,耳が聞こえない
genuine,本物の
manual,体［手］を使う
mechanical,機械の
instant,即時の，すぐの
spare,余分の，予備の
immune,(～に対して)免疫を持つ(to)
harsh,厳しい
collective,集団の，共同の
inevitable,避けられない
profound,重大な
steady,着実な，一定の
mature,成熟した
likewise,同様に
chase,(を)追跡する
sue,を告訴する
gaze,じっと見る
slip,滑る
load,に積む
overwhelm,を圧倒する
wander,歩き回る
float,漂う，浮かぶ
pour,を注ぐ
substitute,を代わりに使う
pronounce,を発音する
shrink,縮む，縮小する
restore,を回復させる
trigger,を引き起こす
grab,をつかむ
retain,を保持する
reproduce,を複製する
bob,上下に動く
entertain,を楽しませる
interfere,干渉する，介入する
cultivate,を養う
underlie,の根底にある
anticipate,を予期する
justify,を正当化する
regulate,を規制する
scan,を走査［スキャン］する
classify,を分類する
submit,を提出する
pause,(一時的に)中止する
lean,傾く
bump,ぶつかる
fold,を折り畳む
hesitate,躊躇する，ためらう
pump,(液体・気体)をポンプで送り込む
mount,を据えつける
exceed,を超える
undergo,を経験する
confront,に立ち向かう
consult,(に)相談する
fulfill,を実現させる
privilege,特権，特典
formation,形成
dimension,側面，局面
neuron,ニューロン，神経単位
sensation,感覚
chart,図，グラフ
geography,〔the ～〕地理
panel,(専門家の)一団
semester,【主に米】 (2学期制の)学期
workforce,労働人口，総労働力
mill,製造工場
abuse,乱用
vice,(道徳上の)悪
fate,運命
tragedy,悲劇(的な事態)
scenario,(予想される)筋書き，事態
allergy,アレルギー
wound,(銃弾・刃物などによる)傷
antibiotic,〔通例～s〕抗生物質
vaccine,ワクチン
metaphor,隠喩
folk,人々
fare,(乗り物の)料金
transition,移り変わり
maximum,最大限
galaxy,星雲，銀河
mineral,鉱物
skeleton,骨格
counterpart,相当する物［人］
stroke,脳卒中
pedestrian,歩行者
trail,(野山などの)小道
ecology,生態学
sibling,きょうだい(の1人)
ratio,比率
mixture,混合(物)
charm,魅力
ambition,(～に対する)願望，野望(for)
prominent,卓越した
radical,急進的な
prompt,即座の，迅速な
informal,形式ばらない，略式の
mutual,相互の
neutral,中立の
alert,警戒して
magnetic,磁気の
polar,極地の
fluent,流ちょうな
external,外部の
passive,受動的な
awful,ひどい
unrelated,無関係の
cruel,残酷な
fake,偽の
vulnerable,(攻撃などに)弱い，もろい
urgent,緊急の
spiritual,精神の
modest,謙虚な
keen,熱心な
nonetheless,それにもかかわらず，それでもなお
negotiate,交渉する
grasp,を把握［理解］する
donate,を寄付する
arrest,を逮捕する
crack,ひびが入る
tap,を軽くたたく
split,を分割する
forecast,を予想［予測］する
exclude,を除外する
overlook,を見落とす
burst,破裂する
heal,(人・傷など)を治す
forbid,を禁じる
install,をインストールする
diminish,を減らす
cite,を引き合いに出す
quote,を引用する
dispute,に異議を唱える
highlight,を目立たせる、強調する
distract,(注意など)をそらす
cheat,をだます
foster,をはぐくむ
obey,に従う
bend,を曲げる
deprive,から(権利などを)奪う
govern,(を)統治する、支配する
log,〔＋onで〕ログオンする
transmit,を伝える
bully,をいじめる
leap,跳ぶ
astonish,を驚かす
thrill,をぞくぞくさせる
nod,うなずく
bow,おじぎする
blend,を混ぜる
complicate,を複雑にする
pitch,を投げる
persist,続く
dedicate,をささげる
equip,に備えつける
premise,前提
input,入力(情報)、投入
merit,利点
sympathy,同情
compliment,賛辞
infrastructure,インフラ、基本的施設
ray,光線
distress,苦悩
joint,関節
expedition,遠征(隊)、探検(隊)
adolescent,青年
shade,(日)陰
jury,陪審(員団)
ethic,倫理、道徳
penalty,(刑)罰
faculty,能力、機能
scheme,計画
nutrition,栄養(の摂取)
particle,(微)粒子
molecule,分子
nationality,国籍
poll,世論調査
clinic,診療所、クリニック
dementia,認知症
fatigue,疲労
dilemma,ジレンマ、板ばさみ
queue,【英】(順番を待つ)列
curve,(道路などの)カーブ
narrative,物語、話
fingerprint,指紋
file,ファイル
wilderness,荒野
pesticide,殺虫剤
panic,パニック(状態)
fabric,織物、布(地)
fantasy,空想
fancy,(気まぐれな)好み
virtue,美徳
grateful,感謝している
valid,妥当な
elaborate,入念な
moderate,適度な
dynamic,活動的な、精力的な
brave,勇敢な
brilliant,すばらしい
tremendous,途方もない、莫大な
oral,口頭の
innocent,無罪の
subsequent,その後の
shallow,浅い
indifferent,無関心な
inferior,より劣った
awkward,気まずい
obese,肥満した
pregnant,妊娠した
intimate,親密な
medieval,中世の
sacred,神聖な
simultaneously,(～と)同時に(with)
versus,〔A ～ Bで〕A対B
proceed,進む，進行する
orient,(人)を(環境などに)慣らす(to)
surf,(インターネット上の情報など)を見て回る
filter,をろ過する
bind,を縛る
resort,(好ましくない手段に)訴える，頼る(to)
reinforce,を強化する
accumulate,を蓄積する，集める
bet,と確信する，断言する
advocate,を主張する
constitute,を構成する
undertake,を引き受ける
grip,を握る
dismiss,(意見など)を退ける
fade,薄れる
conceal,を隠す
chew,(を)かむ
swallow,(を)飲み込む
seal,を密閉する
migrate,移住する
exaggerate,(を)誇張する
accuse,を非難する
vanish,消える
polish,を磨く
wipe,を拭く
sweep,(を)掃く
mislead,を誤解させる，欺く
spoil,を台無しにする
compound,を悪化させる
explode,爆発する
disgust,をむかつかせる
commute,通勤［通学］する
decorate,を装飾する
postpone,を延期する
cease,をやめる
compromise,妥協する
elect,を選出する
extract,を取り［搾り］出す
inherit,を受け継ぐ
rear,(人・動物・植物)を育てる
empathy,感情移入，共感
cue,合図
enterprise,企業，事業
output,生産(高)
congress,(米国などの)議会
millennium,千年間，千年紀
mankind,人類
Muslim,イスラム教徒
estate,(動産・不動産などの)財産
landmine,地雷
caution,用心
controversy,論争
consensus,総意
retail,小売り
fiber,繊維(質)
scent,(よい)香り
beverage,(水以外の)飲み物，飲料
supplement,栄養補助剤，サプリメント
diabetes,糖尿病
province,州，省
reef,(岩や砂の)礁
microbe,微生物
excess,過剰，超過
gallery,美術館，画廊
fame,名声
deadline,締め切り
undergraduate,学部学生
slavery,奴隷制度
prey,獲物
mess,散らかった状態［物］
recession,不況
retreat,後退，退却
grave,墓
column,コラム
scenery,〔集合的に〕景色
plot,(小説などの)筋
sculpture,彫刻(作品)
tablet,タブレット(型情報端末)
dense,密集した，密度の高い
exotic,外来の
acid,酸性の
bitter,苦い，つらい
sensible,賢明な
noble,高貴な
vague,漠然とした，あいまいな
parallel,(～と)平行［並行］の(to)
tense,張り詰めた，緊張した
vertical,垂直の
indigenous,原産の，先住の
aboriginal,〔通例A～〕アボリジニの
seasonal,季節の，季節的な
abundant,豊富な
hybrid,ハイブリッドの
irrelevant,(～にとって)無関係の(to)
ridiculous,ばかげた
fairy,妖精の(ような)
sensory,感覚の
chronic,慢性の
voluntary,自発的な
inclined,傾向がある
infer,を推論する，推測する
esteem,を尊敬する
tackle,に取り組む
venture,危険を冒して進む
accelerate,を加速させる，促進する
accustom,(人)を慣れさせる
amuse,をおもしろがらせる，楽しませる
flourish,繁栄する
thrive,繁栄する，うまくいく
nurture,をはぐくむ
click,(を)クリックする
spin,回転する
clip,を切り抜く
drag,を引きずる
cast,を投じる
scatter,をまき散らす
tempt,を(…する)気にさせる(to do)
withdraw,を引き出す
yawn,あくびをする
blink,まばたきする
dye,を染める
spill,をこぼす
irritate,をいらいらさせる
insult,を侮辱する
enforce,を施行［実施］する
rob,から(金品を)奪う
drain,(液体)を流出させる
suspend,を停職［停学，出場停止］にする
drift,漂う
forgive,を許す
revise,を修正する
recruit,を募る
twist,をねじる，ひねる
crush,を押しつぶす
pin,をピンで留める
uncover,を暴く
exploit,を活用する
implement,を実行［実施］する
integrate,を統合する
incorporate,を取り入れる
profile,人物の紹介
appetite,食欲
impulse,衝動
script,台本
anniversary,(～周年)記念日
pension,年金
temper,気質，気性
cortex,皮質
syndrome,症候群
chamber,(特定の目的の)部屋
utility,公共事業
cattle,〔集合的に〕牛
herd,(牛などの)群れ
fluid,流動体，液体
pity,残念なこと
priest,聖職者
acquaintance,知人
offspring,子孫，子
famine,飢饉
deforestation,森林伐採
jail,刑務所，拘置所
commodity,商品
format,書式，形式
recipient,受け取る人
drill,訓練
inability,無能，無力
republic,共和国
combat,戦闘
debris,(破壊された後の)残骸，瓦礫
bug,病原菌(が起こす病気)
fraction,わずか，一部
index,指標
intuition,直観(力)，直感
motive,動機
consent,同意，承諾
hierarchy,(社会の)階層制
monument,記念碑，遺跡
asset,〔通例～s〕資産
decent,まずまずの
competent,有能な
straightforward,単純な
cosmetic,化粧の，美容の
delicate,繊細な
interior,室内の
transparent,透明な
aesthetic,美的な
deliberate,故意の
demographic,人口統計学の
prehistoric,有史以前の
innate,生まれながらの
mild,穏やかな
toxic,有毒な
ashamed,恥じて
humble,謙虚な
peculiar,特有の
steep,(傾斜が)急な
trivial,ささいな，取るに足りない
magnificent,壮大な
wireless,無線(電信)の，ラジオの
ongoing,継続している，進行中の
assure,に自信を持って言う
precede,に先行する
revive,を復活させる
compel,に強いる
blossom,花が咲く
terrify,を怖がらせる
violate,(法律・規則など)に違反する
suppress,を抑える
deceive,をだます
manipulate,を(巧みに)操る
starve,飢える
flee,(から)逃げる
whisper,(を)ささやく
yell,叫ぶ，どなる
deposit,を置く
confine,を限定する
swing,を揺らす，振る
prolong,を長引かせる
depict,を描く
outline,の要点を述べる
shed,を捨て去る
emit,(光・熱など)を出す，排出する
renew,を更新する
utilize,を利用する
assert,を主張する
strain,に負担をかける
strive,努力する
dare,あえて［思い切って］…する
boast,を誇る
startle,をびっくりさせる
offend,の気分を害する
compute,(を)計算する
assemble,を集める
worsen,を悪化させる
flip,を(ぱっと)裏返す
rub,(を)こする
descend,(を)降りる
compensate,補償する
comprise,から成る
prevail,普及している
quest,探究
dignity,尊厳
criterion,(判断・評価の)基準
paradox,逆説
parliament,(英国などの)議会
legislation,法律
agenda,協議事項(リスト)
mainstream,(活動・思潮などの)主流
troop,〔～s〕軍隊
epidemic,流行(病)
outbreak,発生，勃発
chaos,混沌，大混乱
nightmare,悪夢(のような状況)
horror,恐怖
cluster,集団
pollen,花粉
hive,ミツバチの巣(箱)
irrigation,灌漑
dose,(薬の1回分の)服用量
suicide,自殺
feast,祝宴
cuisine,(独特の)料理，料理法
rumor,うわさ
proverb,ことわざ
signature,署名
formula,方法，解決策
